curso_id,curso_nome,modalidade,nivel,url_pagina,fonte_dados,total_disciplinas,total_paginas,disciplinas_lista,texto_intro_secao,ok
ead-administracao-empresas-engenheiros,Administração de Empresas para Engenheiros,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-administracao-empresas-engenheiros,html,6,1,Estratégia Empresarial - 60hs | Gestão de Pessoas - 60hs | Direito Empresarial - 60hs | Negociação e Comunicação Executiva - 60hs | Marketing Empresarial - 60hs | Administração Financeira - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ead-ciencia-de-dados,Ciência de Dados,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ciencia-de-dados,html,6,1,Gestão de Projetos - 60hs | Sistemas e Tecnologia da Informação - 60hs | Modelagem e Desenvolvimento de Banco de Dados - 60hs | BIG Data e IoT - 60hs | Análise de Dados - 60hs | Administração de Banco de Dados - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ead-educacao-infantil-desenvolvimento-da-linguagem,Educação Infantil e Desenvolvimento da Linguagem,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-educacao-infantil-desenvolvimento-da-linguagem,html,6,1,Processos de Aprendizagem - 60hs | Criatividade e Competências Socioemocionais na Educação - 60hs | Desenvolvimento da Criança - 60hs | Metodologia do Ensino da Linguagem - 60hs | Educação na Primeira Infância - 60hs | Metodologias para Educação Infantil - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ead-ensino-ludico,Ensino Lúdico,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ensino-ludico,html,6,1,Processos de Aprendizagem - 60hs | Criatividade e Competências Socioemocionais na Educação - 60hs | Desenvolvimento da Criança - 60hs | Ludicidade e Práticas Pedagógicas - 60hs | Aprendizagem Lúdica - 60hs | Ludopedagogia: Brincar e aprender - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ead-gestao-escolar-foco-recursos-humanos,Gestão Escolar com foco em Recursos Humanos,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-gestao-escolar-foco-recursos-humanos,html,6,1,Estratégia Empresarial - 60hs | Gestão Estratégica de Pessoas e Habilidade Gerenciais - 60hs | Treinamento e Desenvolvimento no Ambiente de Trabalho - 60hs | Gestão de Sistemas Educacionais - 60hs | Gestão Estratégica Educacional - 60hs | Paradigmas Educacionais e Tendências Contemporâneas no Ensino - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ead-libras-deficiencia-auditiva,Deficiência Auditiva (LIBRAS),EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-libras-deficiencia-auditiva,html,6,1,"Criatividade e Competências Socioemocionais na Educação - 60hs | Desenvolvimento da Criança e do Adolescente - 60hs | Educação Inclusiva: Fundamentos e Adequações Metodológicas e Curriculares - 60hs | Alfabetização e Letramento de Surdos - 60hs | Lingua Brasileira de Sinais (LIBRAS) - 60hs | Diversidade na Educação, Culturas e Comportamentos - 60hs","As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ead-mba-em-financas-corporativas,MBA em Finanças Corporativas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-financas-corporativas,html,6,1,Estratégia Empresarial - 60hs | Empreendedorismo e Plano de Negócios - 60hs | Gestão do Capital de Giro - 60hs | Planejamento e Contabilidade Tributária - 60hs | Avaliação de Empresas - 60hs | Controladoria Estratégica - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ead-mba-em-gestao-da-qualidade,MBA em Gestão da Qualidade,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-da-qualidade,html,6,1,Estratégia Empresarial - 60hs | Empreendedorismo e Plano de Negócios - 60hs | Gestão Corporativa: Business Administration - 60hs | Gestão da Qualidade - 60hs | Sistemas de Controle da Qualidade - 60hs | Ferramentas da Qualidade - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ead-mba-em-gestao-de-projetos,MBA em Gestão de Projeto,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-de-projetos,html,6,1,"Estratégia Empresarial - 60hs | Empreendedorismo e Plano de Negócios - 60hs | Práticas Avançadas em Gestão - 60hs | Gerenciamento da Integração, Escopo e Cronograma - 60hs | Gerenciamento dos Recursos, Custos, Comunicações e Partes Interessadas - 60hs | Gerenciamento da Qualidade e Riscos - 60hs","As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ead-mba-em-gestao-empresarial,MBA em Gestão Empresarial,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-gestao-empresarial,html,6,1,Estratégia Empresarial - 60hs | Empreendedorismo e Plano de Negócios - 60hs | Gestão Corporativa: Business Administration - 60hs | Desenvolvimento de Organizações Inteligentes - 60hs | Gestão por Processos (Business Process Management) - 60hs | Práticas Avançadas em Gestão - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ead-mba-em-lideranca-e-gestao-de-pessoas,MBA em Liderança e Gestão de Pessoas,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-mba-em-lideranca-e-gestao-de-pessoas,html,6,1,Estratégia Empresarial - 60hs | Empreendedorismo e Plano de Negócios - 60hs | Gestão Estratégica de Pessoas e Habilidade Gerenciais - 60hs | Desenvolvimento de Equipes - 60hs | Liderança e Coaching - 60hs | Treinamento e Desenvolvimento no Ambiente de Trabalho - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
